clusID,sersicn,ID
1758257,-9.0,1819543
1758257,0.982,1819546
1758257,1.057,1819547
1758257,0.725,1819548
1758257,1.041,1819560
1758257,1.265,1819577
1808858,1.415,1872187
1808858,0.972,1872188
1808858,0.792,1872190
1808858,1.323,1872192
1808858,-9.0,1872193
1808858,0.574,1872194
1808858,1.387,1872196
1808858,1.415,1872199
1808858,0.72,1872202
1808858,1.695,1872205
1808858,0.763,1872207
1808858,0.893,1872210
1808858,2.219,1872212
1808858,0.952,1872214
1808858,1.206,1872215
1808858,1.717,1872216
1808858,1.322,1872217
1808858,1.168,1872219
1808858,0.731,1872220
1808858,0.9,1872232
1808858,-9.0,1872235
1808858,-9.0,1872236
1808858,0.779,1872237
1808858,1.029,1872238
1808858,0.927,1872239
1808858,1.107,1872240
1808858,0.877,1872243
1808858,1.237,1872245
1808858,0.629,1872252
1808858,1.15,1872254
1808858,1.141,1872272
1808858,2.006,1872274
1808858,0.818,1872279
1827559,1.258,1891716
1827559,3.227,1891717
1827559,1.489,1891721
1827559,1.297,1891722
1827559,1.229,1891724
1827559,1.563,1891726
1827559,0.796,1891727
1827559,0.524,1891731
1827559,0.458,1891732
1827559,1.006,1891739
1827559,0.69,1891740
1827559,1.417,1891743
1827559,1.418,1891746
1827559,1.172,1891749
1827559,0.934,1891753
1827559,1.36,1891759
1827559,1.149,1891765
1827559,1.405,1891767
1827559,-9.0,1891774
1827559,0.553,1891780
1827559,0.436,1891784
1827559,1.734,1891786
1827559,0.932,1891796
1827559,1.527,1891815
1827559,1.383,1891821
1827559,2.494,1891840
1847383,0.82,1912562
1847383,0.82,1912565
1847383,0.736,1912567
1847383,0.935,1912569
1847383,0.722,1912571
1847383,0.745,1912572
1847383,0.919,1912574
1847383,0.722,1912579
1847383,0.789,1912580
1847383,0.814,1912581
1847383,1.397,1912582
1847383,0.929,1912584
1847383,0.938,1912586
1847383,0.607,1912591
1847383,0.853,1912592
1847383,0.638,1912596
1847383,0.673,1912598
1847383,0.561,1912603
1847383,0.862,1912605
1847383,0.779,1912609
1847383,1.018,1912613
1847383,1.215,1912616
1847383,1.277,1912618
1847383,1.115,1912620
1847383,-9.0,1912622
1847383,0.564,1912630
1847383,1.023,1912639
1847383,-9.0,1912643
1954735,1.151,2025064
1954735,2.91,2025067
1954735,0.94,2025068
1954735,0.589,2025071
1954735,0.585,2025075
1954735,1.373,2025076
1954735,1.432,2025079
1954735,0.84,2025082
1954735,1.214,2025083
1954735,0.88,2025090
1954735,1.017,2025091
1954735,0.821,2025096
1954735,1.13,2025099
1954735,1.206,2025103
1954735,1.082,2025109
1954735,0.676,2025112
1954735,0.864,2025119
1954735,1.271,2025122
1954735,0.582,2025136
1954735,0.496,2025155
1954735,1.213,2025161
1983863,2.09,2055504
1983863,1.522,2055505
1983863,1.113,2055510
1983863,1.01,2055511
1983863,0.949,2055515
1983863,1.336,2055516
1983863,1.452,2055517
1983863,0.938,2055518
1983863,1.417,2055519
1983863,1.188,2055521
1983863,1.078,2055522
1983863,1.032,2055523
1983863,1.004,2055524
1983863,0.856,2055525
1983863,0.957,2055527
1983863,0.768,2055528
1983863,0.975,2055529
1983863,1.214,2055533
1983863,1.071,2055537
1983863,1.318,2055538
1983863,1.122,2055542
1983863,2.43,2055548
1983863,1.203,2055549
1983863,0.911,2055552
1983863,1.645,2055554
1983863,1.251,2055556
1983863,-9.0,2055560
1983863,0.596,2055562
1983863,0.763,2055566
1983863,0.903,2055570
1983863,-9.0,2055571
1983863,1.156,2055573
2002628,1.95,2075138
2002628,1.011,2075141
2002628,1.635,2075143
